Date,Open,High,Low,Close,Volume
12/2023,"0.3070","0.3100","0.2270","0.2572","692,006,441"
11/2023,"0.2700","0.3830","0.2201","0.3100","679,319,101"
10/2023,"0.4858","0.4918","0.2500","0.2741","403,036,571"
09/2023,"0.6175","0.6275","0.4273","0.4900","363,018,949"
08/2023,"0.6578","0.6940","0.4200","0.5925","805,743,124"
07/2023,"0.5058","0.8477","0.4960","0.6452","1,060,867,048"
06/2023,"0.5500","0.7500","0.4135","0.4794","593,827,786"
05/2023,"0.7546","0.8098","0.5450","0.5560","313,683,671"
04/2023,"0.6942","0.7899","0.5027","0.7550","281,970,422"
03/2023,"0.7509","0.7661","0.5421","0.6526","540,999,028"
02/2023,"1.1700","1.3100","0.6940","0.7485","569,324,520"
01/2023,"1.2700","1.4700","1.0700","1.2000","224,749,437"
