Date,Open,High,Low,Close,Volume
12/2023,"233.14","265.13","228.20","248.48","2,295,511,874"
11/2023,"204.04","252.75","197.85","240.08","2,652,010,466"
10/2023,"244.81","268.94","194.07","200.84","2,591,243,957"
09/2023,"257.26","278.98","234.58","250.22","2,440,633,603"
08/2023,"266.26","266.47","212.36","258.08","2,503,253,375"
07/2023,"276.49","299.29","254.12","267.43","2,393,588,305"
06/2023,"202.59","276.99","199.37","261.77","3,443,091,812"
05/2023,"163.17","204.48","158.83","203.93","2,682,606,241"
04/2023,"199.91","202.69","152.37","164.31","2,505,176,265"
03/2023,"206.21","207.79","163.91","207.46","3,312,555,329"
02/2023,"173.89","217.65","169.93","205.71","3,625,947,252"
01/2023,"118.47","180.68","101.81","173.22","3,897,499,359"
